YEAR,TIME,REP,FORAGE,GRZTRT,ZONE,MEAS,DEPTH,SBD,EC,PH,NO3N,NH4N,P,PMN,SOC,TN
2002,SPRING,1,ANNUAL,GRAZE,HT,3,7.5,1.02,0.22,5.70,3.15,1.19,6.69,35.24,25.20,2.11
2002,SPRING,1,ANNUAL,GRAZE,LT,1,7.5,1.05,0.28,5.86,7.22,3.60,6.88,82.76,26.91,2.35
2002,SPRING,1,ANNUAL,GRAZE,LT,2,7.5,0.97,0.24,5.58,6.17,1.99,6.41,51.57,26.76,2.27
2002,SPRING,1,ANNUAL,GRAZE,LT,3,7.5,1.08,0.21,5.76,4.14,0.93,6.29,54.98,24.32,2.20
2002,SPRING,2,ANNUAL,GRAZE,HT,1,7.5,1.08,0.26,5.91,4.19,1.05,12.73,72.72,22.91,2.04
2002,SPRING,2,ANNUAL,GRAZE,HT,2,7.5,1.18,0.20,6.05,2.99,1.46,6.06,46.18,21.37,1.95
2002,SPRING,2,ANNUAL,GRAZE,HT,3,7.5,1.12,0.21,5.88,4.73,1.22,9.80,65.15,21.71,2.03
2002,SPRING,2,ANNUAL,GRAZE,LT,1,7.5,1.19,0.26,6.22,5.87,2.27,7.88,96.46,24.32,2.22
2002,SPRING,2,ANNUAL,GRAZE,LT,2,7.5,1.09,0.23,5.80,4.53,0.80,7.18,59.26,23.25,2.12
2002,SPRING,2,ANNUAL,GRAZE,LT,3,7.5,1.09,0.22,6.03,1.94,1.35,7.15,69.56,22.52,2.02
2001,FALL,1,ANNUAL,GRAZE,HT,1,7.5,0.96,0.26,6.00,7.26,0.64,4.95,56.56,22.07,1.86
2001,FALL,1,ANNUAL,GRAZE,HT,2,7.5,1.02,0.34,5.72,19.84,0.87,4.49,68.13,25.60,2.19
2001,FALL,1,ANNUAL,GRAZE,HT,3,7.5,1.06,0.31,5.74,11.36,0.62,4.70,51.26,23.95,2.02
2001,FALL,1,ANNUAL,GRAZE,LT,1,7.5,1.02,0.25,5.84,6.48,0.69,4.49,50.68,24.73,2.10
2001,FALL,1,ANNUAL,GRAZE,LT,2,7.5,1.13,0.36,5.88,17.85,0.66,6.65,76.30,28.26,2.46
2001,FALL,1,ANNUAL,GRAZE,LT,3,7.5,1.07,0.38,5.73,12.68,0.52,7.11,48.87,23.71,2.11
2001,FALL,2,ANNUAL,GRAZE,HT,1,7.5,1.15,0.28,6.01,6.63,0.63,5.94,58.23,22.59,2.01
2001,FALL,2,ANNUAL,GRAZE,HT,2,7.5,1.16,0.49,5.88,34.16,0.87,5.11,74.28,25.68,2.35
2001,FALL,2,ANNUAL,GRAZE,HT,3,7.5,1.10,0.34,6.13,13.47,0.72,4.88,67.12,19.84,1.94
2001,FALL,2,ANNUAL,GRAZE,LT,1,7.5,1.11,0.30,6.18,7.21,0.58,7.34,78.12,24.53,2.17
2001,FALL,2,ANNUAL,GRAZE,LT,2,7.5,1.14,0.42,5.96,17.44,0.69,6.70,100.22,24.79,2.22
2001,FALL,2,ANNUAL,GRAZE,LT,3,7.5,1.08,0.43,5.88,22.96,0.71,4.75,57.92,22.44,2.00
2002,SPRING,1,ANNUAL,HAY,NT,1,7.5,1.07,0.21,5.57,4.70,1.09,5.44,51.74,23.17,2.06
2002,SPRING,1,ANNUAL,HAY,NT,2,7.5,0.95,0.19,5.68,3.14,0.62,4.84,39.17,23.32,2.08
2002,SPRING,1,ANNUAL,HAY,NT,3,7.5,1.02,0.29,5.78,8.03,2.05,6.00,64.87,24.97,2.12
2002,SPRING,2,ANNUAL,HAY,NT,1,7.5,1.14,0.23,6.11,3.76,1.16,8.33,55.10,22.98,2.11
2002,SPRING,2,ANNUAL,HAY,NT,2,7.5,1.17,0.20,6.34,2.84,0.91,5.98,60.93,19.98,1.87
2002,SPRING,2,ANNUAL,HAY,NT,3,7.5,1.00,0.22,5.83,4.95,1.37,5.80,50.62,24.53,2.14
2001,FALL,1,ANNUAL,HAY,NT,1,7.5,0.99,0.26,6.14,4.92,0.62,5.08,71.89,25.67,2.19
2001,FALL,1,ANNUAL,HAY,NT,2,7.5,1.00,0.32,5.86,18.56,0.86,4.43,80.00,26.45,2.30
2001,FALL,1,ANNUAL,HAY,NT,3,7.5,1.05,0.47,5.68,20.36,1.29,6.17,63.50,25.83,2.24
2001,FALL,2,ANNUAL,HAY,NT,1,7.5,1.05,0.31,5.93,11.89,1.14,6.96,63.22,22.86,2.04
2001,FALL,2,ANNUAL,HAY,NT,2,7.5,1.19,0.37,6.17,17.61,0.74,4.40,71.17,21.03,1.96
2001,FALL,2,ANNUAL,HAY,NT,3,7.5,1.05,0.31,5.96,14.22,0.62,5.43,69.22,26.34,2.27
2005,SPRING,1,ANNUAL,CONTROL,NT,1,7.5,1.07,0.28,6.05,5.10,2.93,3.96,73.70,24.59,2.13
2005,SPRING,1,ANNUAL,CONTROL,NT,2,7.5,1.03,0.26,5.94,8.79,3.39,4.56,56.77,22.81,1.99
2005,SPRING,1,ANNUAL,CONTROL,NT,3,7.5,1.01,0.29,5.73,6.42,1.71,6.70,72.58,23.65,2.02
2005,SPRING,2,ANNUAL,CONTROL,NT,1,7.5,1.15,0.28,6.47,4.93,2.18,9.24,87.78,22.33,1.98
2005,SPRING,2,ANNUAL,CONTROL,NT,2,7.5,1.30,0.27,6.17,6.56,2.51,15.36,80.10,25.64,2.29
2005,SPRING,2,ANNUAL,CONTROL,NT,3,7.5,1.18,0.32,6.40,6.70,2.37,13.07,89.21,19.87,1.81
2004,FALL,1,ANNUAL,CONTROL,NT,1,7.5,0.95,0.29,6.23,2.92,1.37,4.91,63.89,22.23,1.91
2004,FALL,1,ANNUAL,CONTROL,NT,2,7.5,1.00,0.29,5.78,7.32,2.10,4.44,46.69,21.79,1.94
2004,FALL,1,ANNUAL,CONTROL,NT,3,7.5,0.93,0.28,5.90,6.09,1.31,4.46,55.25,24.57,2.12
2004,FALL,2,ANNUAL,CONTROL,NT,1,7.5,1.12,0.28,6.52,5.88,1.47,4.56,97.31,22.75,1.98
2004,FALL,2,ANNUAL,CONTROL,NT,2,7.5,1.00,0.29,6.21,7.53,2.14,4.79,77.84,21.17,1.84
2004,FALL,2,ANNUAL,CONTROL,NT,3,7.5,1.08,0.30,6.12,6.90,1.98,6.40,68.30,19.95,1.80
2005,SPRING,1,ANNUAL,GRAZE,HT,1,7.5,0.84,0.28,5.93,4.14,1.65,3.75,63.20,19.11,1.67
2005,SPRING,1,ANNUAL,GRAZE,HT,2,7.5,0.90,0.30,5.72,5.62,1.19,5.99,36.01,20.96,1.82
2005,SPRING,1,ANNUAL,GRAZE,HT,3,7.5,0.88,0.32,5.89,11.71,2.11,3.92,76.15,19.20,1.69
2005,SPRING,1,ANNUAL,GRAZE,LT,1,7.5,1.10,0.23,5.92,4.47,1.74,4.07,68.71,23.68,1.89
2005,SPRING,1,ANNUAL,GRAZE,LT,2,7.5,0.93,0.25,5.60,5.64,1.94,5.53,32.11,20.30,1.81
2005,SPRING,1,ANNUAL,GRAZE,LT,3,7.5,0.84,0.53,5.51,17.30,2.34,5.58,56.57,20.63,1.80
2005,SPRING,2,ANNUAL,GRAZE,HT,1,7.5,1.16,0.23,6.04,2.88,2.40,10.32,60.28,18.15,1.72
2005,SPRING,2,ANNUAL,GRAZE,HT,2,7.5,1.13,0.42,6.11,13.37,1.82,15.09,85.93,20.63,1.87
2005,SPRING,2,ANNUAL,GRAZE,HT,3,7.5,1.14,0.31,6.25,5.42,1.96,9.25,64.10,19.65,1.80
2005,SPRING,2,ANNUAL,GRAZE,LT,1,7.5,1.10,0.35,5.97,9.08,2.93,11.37,79.91,22.29,2.00
2005,SPRING,2,ANNUAL,GRAZE,LT,2,7.5,1.22,0.36,6.00,9.68,2.63,11.71,79.91,20.23,1.85
2005,SPRING,2,ANNUAL,GRAZE,LT,3,7.5,1.16,0.29,5.96,6.67,2.38,11.20,78.18,22.55,2.01
2004,FALL,1,ANNUAL,GRAZE,HT,1,7.5,0.95,0.30,5.92,3.78,0.79,3.49,85.13,21.89,1.87
2004,FALL,1,ANNUAL,GRAZE,HT,2,7.5,1.02,0.33,5.94,4.76,1.36,4.51,102.08,25.59,2.23
2004,FALL,1,ANNUAL,GRAZE,HT,3,7.5,1.06,0.29,5.82,7.17,1.68,4.68,59.98,20.63,1.82
2004,FALL,1,ANNUAL,GRAZE,LT,1,7.5,1.03,0.27,5.87,5.54,1.29,3.78,94.59,21.26,1.86
2004,FALL,1,ANNUAL,GRAZE,LT,2,7.5,1.01,0.26,5.59,4.27,1.11,4.45,62.35,23.59,2.09
2004,FALL,1,ANNUAL,GRAZE,LT,3,7.5,0.98,0.25,5.79,4.41,1.04,4.35,96.13,23.16,1.97
2004,FALL,2,ANNUAL,GRAZE,HT,1,7.5,1.11,0.30,6.09,5.46,1.46,4.50,64.76,19.96,1.76
2004,FALL,2,ANNUAL,GRAZE,HT,2,7.5,1.03,0.28,6.09,6.81,1.49,6.45,69.97,19.60,1.75
2004,FALL,2,ANNUAL,GRAZE,HT,3,7.5,1.08,0.28,6.34,5.94,1.44,5.15,64.96,20.59,1.82
2004,FALL,2,ANNUAL,GRAZE,LT,1,7.5,1.09,0.28,6.40,6.78,1.60,4.01,78.04,21.76,1.92
2004,FALL,2,ANNUAL,GRAZE,LT,2,7.5,1.01,0.30,6.12,6.28,1.45,4.82,79.44,20.61,1.84
2004,FALL,2,ANNUAL,GRAZE,LT,3,7.5,1.02,0.27,6.01,6.29,1.63,4.90,69.96,21.21,1.87
2005,SPRING,1,ANNUAL,HAY,NT,1,7.5,1.10,0.23,5.93,3.04,2.05,3.26,66.05,23.04,2.00
2005,SPRING,1,ANNUAL,HAY,NT,2,7.5,1.03,0.26,5.81,8.16,2.65,3.80,71.17,23.31,2.10
2005,SPRING,1,ANNUAL,HAY,NT,3,7.5,1.05,0.32,5.85,6.24,2.50,4.66,74.36,23.36,2.09
2005,SPRING,2,ANNUAL,HAY,NT,1,7.5,1.14,0.27,6.42,3.72,1.93,6.73,76.49,23.59,2.03
2005,SPRING,2,ANNUAL,HAY,NT,2,7.5,1.12,0.34,6.26,8.33,2.23,7.49,75.81,19.38,1.76
2005,SPRING,2,ANNUAL,HAY,NT,3,7.5,1.18,0.28,6.08,4.44,2.05,6.98,67.18,18.62,1.71
2004,FALL,1,ANNUAL,HAY,NT,1,7.5,1.00,0.34,5.64,7.08,1.93,5.15,76.78,26.89,2.21
2004,FALL,1,ANNUAL,HAY,NT,2,7.5,0.90,0.33,5.92,6.77,1.21,5.31,96.38,24.01,2.20
2004,FALL,1,ANNUAL,HAY,NT,3,7.5,0.93,0.33,5.99,6.03,1.03,4.47,79.67,21.52,1.93
2004,FALL,2,ANNUAL,HAY,NT,1,7.5,1.05,0.30,6.22,5.67,1.52,4.26,78.19,22.68,1.96
2004,FALL,2,ANNUAL,HAY,NT,2,7.5,1.06,0.32,6.29,6.76,1.78,4.28,64.01,18.29,1.63
2004,FALL,2,ANNUAL,HAY,NT,3,7.5,1.12,0.30,6.47,7.00,1.50,4.96,72.87,20.07,1.83
2008,SPRING,1,ANNUAL,CONTROL,NT,1,7.5,1.17,0.45,6.02,13.21,3.94,11.71,57.73,25.08,2.32
2008,SPRING,1,ANNUAL,CONTROL,NT,2,7.5,1.06,0.46,5.79,14.34,4.06,13.17,70.11,25.25,2.27
2008,SPRING,1,ANNUAL,CONTROL,NT,3,7.5,0.99,0.44,5.48,10.36,4.92,12.67,37.97,24.21,2.20
2008,SPRING,2,ANNUAL,CONTROL,NT,1,7.5,1.13,0.37,6.27,1.61,3.89,3.26,19.32,11.17,1.05
2008,SPRING,2,ANNUAL,CONTROL,NT,2,7.5,1.25,0.43,6.99,9.16,5.05,10.91,31.02,23.67,2.16
2008,SPRING,2,ANNUAL,CONTROL,NT,3,7.5,1.17,0.52,6.29,19.40,4.65,17.70,99.14,24.09,2.29
2007,FALL,1,ANNUAL,CONTROL,NT,1,7.5,1.13,0.32,5.92,5.33,5.84,9.62,75.46,24.71,2.26
2007,FALL,1,ANNUAL,CONTROL,NT,2,7.5,1.06,0.28,5.93,9.58,8.78,8.52,57.83,22.44,2.10
2007,FALL,1,ANNUAL,CONTROL,NT,3,7.5,0.99,0.32,5.81,6.60,6.97,8.75,58.52,25.51,2.29
2007,FALL,2,ANNUAL,CONTROL,NT,1,7.5,1.17,0.34,6.18,5.61,5.78,12.69,97.48,24.91,2.33
2007,FALL,2,ANNUAL,CONTROL,NT,2,7.5,1.08,0.42,5.93,8.10,6.81,15.11,90.04,23.89,2.18
2007,FALL,2,ANNUAL,CONTROL,NT,3,7.5,1.21,0.38,5.81,7.83,6.38,11.42,94.48,27.84,2.52
2008,SPRING,1,ANNUAL,GRAZE,HT,1,7.5,1.19,0.29,5.96,11.22,4.01,12.09,63.60,27.47,2.33
2008,SPRING,1,ANNUAL,GRAZE,HT,2,7.5,1.16,0.44,5.92,14.39,4.27,14.39,64.32,29.26,2.70
2008,SPRING,1,ANNUAL,GRAZE,HT,3,7.5,1.14,0.39,5.57,13.29,4.43,9.94,68.69,27.46,2.50
2008,SPRING,1,ANNUAL,GRAZE,LT,1,7.5,1.18,0.46,5.70,13.11,3.81,16.51,52.74,16.44,1.53
2008,SPRING,1,ANNUAL,GRAZE,LT,2,7.5,1.13,0.38,5.67,10.42,4.32,16.70,88.84,14.23,1.34
2008,SPRING,1,ANNUAL,GRAZE,LT,3,7.5,1.00,0.40,5.57,12.85,4.06,13.88,67.43,30.21,2.64
2008,SPRING,2,ANNUAL,GRAZE,HT,1,7.5,1.08,0.54,5.77,12.04,3.42,28.60,52.90,24.86,2.28
2008,SPRING,2,ANNUAL,GRAZE,HT,2,7.5,1.61,0.41,6.07,9.76,5.66,18.74,108.75,33.47,3.05
2008,SPRING,2,ANNUAL,GRAZE,HT,3,7.5,1.34,0.86,5.88,44.33,25.69,16.72,52.24,23.59,2.30
2008,SPRING,2,ANNUAL,GRAZE,LT,1,7.5,1.18,0.37,5.96,9.58,4.79,13.90,70.94,24.47,2.26
2008,SPRING,2,ANNUAL,GRAZE,LT,2,7.5,1.19,0.40,5.88,12.85,6.42,13.73,90.74,27.36,2.47
2008,SPRING,2,ANNUAL,GRAZE,LT,3,7.5,1.16,0.57,5.99,18.61,4.54,13.56,118.66,28.00,2.56
2007,FALL,1,ANNUAL,GRAZE,HT,1,7.5,1.01,0.32,5.48,8.69,4.31,11.00,86.91,29.95,2.62
2007,FALL,1,ANNUAL,GRAZE,HT,2,7.5,1.07,0.34,5.32,7.07,4.42,9.41,28.57,23.59,2.18
2007,FALL,1,ANNUAL,GRAZE,HT,3,7.5,1.07,0.36,5.64,8.42,5.21,10.93,72.98,26.92,2.49
2007,FALL,1,ANNUAL,GRAZE,LT,1,7.5,1.01,0.35,5.81,8.03,5.38,16.35,76.62,28.23,2.58
2007,FALL,1,ANNUAL,GRAZE,LT,2,7.5,1.14,0.28,5.46,7.01,5.38,15.97,71.01,36.21,3.22
2007,FALL,1,ANNUAL,GRAZE,LT,3,7.5,1.01,0.31,5.66,6.00,4.33,14.84,58.04,31.25,2.79
2007,FALL,2,ANNUAL,GRAZE,HT,1,7.5,1.23,0.30,5.98,3.70,5.09,19.00,48.92,19.69,1.84
2007,FALL,2,ANNUAL,GRAZE,HT,2,7.5,1.15,0.35,6.05,4.92,5.01,15.30,94.02,23.61,2.13
2007,FALL,2,ANNUAL,GRAZE,HT,3,7.5,1.21,0.35,6.26,5.72,4.99,15.37,89.75,21.14,2.02
2007,FALL,2,ANNUAL,GRAZE,LT,1,7.5,1.12,0.39,5.84,9.44,4.64,16.66,68.07,24.61,2.26
2007,FALL,2,ANNUAL,GRAZE,LT,2,7.5,1.13,0.34,5.98,6.26,3.89,17.40,78.26,26.50,2.42
2007,FALL,2,ANNUAL,GRAZE,LT,3,7.5,1.00,0.30,5.89,5.10,4.65,13.21,69.93,23.39,2.12
2008,SPRING,1,ANNUAL,HAY,NT,1,7.5,1.08,0.37,5.77,9.19,5.32,12.78,58.58,26.88,2.42
2008,SPRING,1,ANNUAL,HAY,NT,2,7.5,1.06,0.31,5.72,7.28,4.75,6.95,38.66,23.74,2.24
2008,SPRING,1,ANNUAL,HAY,NT,3,7.5,1.08,0.46,5.65,20.41,7.82,12.38,67.46,27.47,2.51
2008,SPRING,2,ANNUAL,HAY,NT,1,7.5,1.16,0.30,6.15,3.23,3.58,8.39,58.58,21.14,2.02
2008,SPRING,2,ANNUAL,HAY,NT,2,7.5,1.13,0.34,6.38,6.10,4.23,12.37,87.44,21.14,1.97
2008,SPRING,2,ANNUAL,HAY,NT,3,7.5,1.16,0.39,6.27,8.16,3.82,13.54,55.58,22.18,2.05
2007,FALL,1,ANNUAL,HAY,NT,1,7.5,1.00,0.57,5.71,17.89,8.46,11.88,63.07,26.70,2.47
2007,FALL,1,ANNUAL,HAY,NT,2,7.5,1.03,0.45,5.69,22.32,7.03,10.58,53.89,27.65,2.53
2007,FALL,1,ANNUAL,HAY,NT,3,7.5,1.03,0.28,5.61,21.39,5.48,14.18,81.42,25.98,2.34
2007,FALL,2,ANNUAL,HAY,NT,1,7.5,1.13,0.44,5.80,11.41,4.22,16.58,81.03,26.95,2.52
2007,FALL,2,ANNUAL,HAY,NT,2,7.5,1.14,0.40,6.01,9.18,4.98,9.22,87.48,26.42,2.42
2007,FALL,2,ANNUAL,HAY,NT,3,7.5,1.19,0.40,6.08,9.10,6.24,13.07,102.55,23.72,2.16
