YEAR,REP,FORAGE,GRZTRT,ZONE,MEAS,DEPTH,SBDSC,ECSC,PHSC,PSC,PMNSC,SOCSC,SQI
2005,2,PERENN,GRAZE,LT,2,7.5,0.994,1.000,0.994,0.275,1.000,0.478,0.790
2005,2,PERENN,GRAZE,LT,3,7.5,0.985,1.000,0.998,0.274,1.000,0.553,0.802
2005,2,PERENN,GRAZE,HT,1,7.5,0.994,1.000,0.997,0.043,1.000,0.575,0.768
2005,2,PERENN,GRAZE,HT,2,7.5,0.994,1.000,0.995,0.044,1.000,0.409,0.740
2005,2,PERENN,GRAZE,HT,3,7.5,0.993,1.000,0.988,0.043,1.000,0.458,0.747
2005,2,PERENN,HAY,NT,1,7.5,0.994,1.000,0.969,0.043,1.000,0.457,0.744
2005,2,PERENN,CONTROL,NT,1,7.5,0.994,1.000,0.992,0.043,1.000,0.412,0.740
2008,1,ANNUAL,GRAZE,HT,1,7.5,0.986,1.000,0.986,1.000,1.000,0.695,0.944
2008,1,ANNUAL,GRAZE,HT,2,7.5,0.992,1.000,0.982,1.000,1.000,0.775,0.958
2008,1,ANNUAL,GRAZE,HT,3,7.5,0.994,1.000,0.936,1.000,1.000,0.737,0.944
2008,1,ANNUAL,GRAZE,LT,1,7.5,0.988,1.000,0.956,1.000,1.000,0.256,0.867
2008,1,ANNUAL,GRAZE,LT,2,7.5,0.994,1.000,0.952,1.000,1.000,0.208,0.859
2008,1,ANNUAL,GRAZE,LT,3,7.5,0.994,1.000,0.936,1.000,1.000,0.905,0.972
2008,1,ANNUAL,CONTROL,NT,1,7.5,0.991,1.000,0.990,1.000,1.000,0.619,0.933
2008,1,ANNUAL,CONTROL,NT,2,7.5,0.994,1.000,0.968,1.000,1.000,0.721,0.947
2008,1,ANNUAL,CONTROL,NT,3,7.5,0.994,1.000,0.919,1.000,1.000,0.745,0.943
2008,1,ANNUAL,HAY,NT,1,7.5,0.994,1.000,0.965,1.000,1.000,0.769,0.955
2008,1,ANNUAL,HAY,NT,2,7.5,0.994,1.000,0.959,0.974,1.000,0.665,0.932
2008,1,ANNUAL,HAY,NT,3,7.5,0.994,1.000,0.949,1.000,1.000,0.788,0.955
2008,2,ANNUAL,GRAZE,HT,1,7.5,0.994,1.000,0.965,1.000,1.000,0.685,0.941
2008,2,ANNUAL,GRAZE,HT,2,7.5,0.310,1.000,0.993,1.000,1.000,0.586,0.815
2008,2,ANNUAL,GRAZE,HT,3,7.5,0.742,0.822,0.978,1.000,1.000,0.420,0.827
2008,2,ANNUAL,GRAZE,LT,1,7.5,0.988,1.000,0.986,1.000,1.000,0.580,0.926
2008,2,ANNUAL,GRAZE,LT,2,7.5,0.985,1.000,0.978,1.000,1.000,0.688,0.942
2008,2,ANNUAL,GRAZE,LT,3,7.5,0.991,1.000,0.988,1.000,1.000,0.732,0.952
2008,2,ANNUAL,CONTROL,NT,1,7.5,0.994,1.000,1.000,0.750,0.862,0.131,0.790
2008,2,ANNUAL,CONTROL,NT,2,7.5,0.939,1.000,0.942,1.000,0.994,0.492,0.894
2008,2,ANNUAL,CONTROL,NT,3,7.5,0.990,1.000,1.000,1.000,1.000,0.573,0.927
2008,2,ANNUAL,HAY,NT,1,7.5,0.991,1.000,0.997,0.980,1.000,0.450,0.903
2008,2,ANNUAL,HAY,NT,2,7.5,0.994,1.000,0.999,1.000,1.000,0.479,0.912
2008,2,ANNUAL,HAY,NT,3,7.5,0.992,1.000,1.000,1.000,1.000,0.501,0.916
2008,1,PERENN,GRAZE,LT,1,7.5,0.994,1.000,0.972,0.961,1.000,0.785,0.952
2008,1,PERENN,GRAZE,LT,2,7.5,0.994,1.000,0.977,0.945,1.000,0.764,0.947
2008,1,PERENN,GRAZE,LT,3,7.5,0.994,1.000,0.970,0.915,1.000,0.727,0.934
2008,1,PERENN,GRAZE,HT,1,7.5,0.994,1.000,0.919,0.963,1.000,0.869,0.958
2008,1,PERENN,GRAZE,HT,2,7.5,0.994,1.000,0.963,0.857,1.000,0.677,0.915
2008,1,PERENN,GRAZE,HT,3,7.5,0.994,1.000,0.796,0.974,1.000,0.560,0.887
2008,1,PERENN,CONTROL,NT,1,7.5,0.994,1.000,0.960,0.914,1.000,0.764,0.939
2008,1,PERENN,HAY,NT,1,7.5,0.994,1.000,0.956,0.945,1.000,0.649,0.924
2008,2,PERENN,GRAZE,LT,1,7.5,0.994,1.000,0.980,0.945,1.000,0.725,0.941
2008,2,PERENN,GRAZE,LT,2,7.5,0.994,1.000,0.987,0.945,1.000,0.927,0.975
2008,2,PERENN,GRAZE,LT,3,7.5,0.994,1.000,0.967,0.759,1.000,0.444,0.861
2008,2,PERENN,GRAZE,HT,1,7.5,0.994,1.000,0.950,0.915,1.000,0.578,0.906
2008,2,PERENN,GRAZE,HT,2,7.5,0.993,1.000,0.979,0.860,1.000,0.642,0.912
2008,2,PERENN,GRAZE,HT,3,7.5,0.994,1.000,0.983,0.859,1.000,0.855,0.949
2008,2,PERENN,HAY,NT,1,7.5,0.994,1.000,0.944,0.943,1.000,0.666,0.924
2008,2,PERENN,CONTROL,NT,1,7.5,0.993,1.000,0.942,0.963,1.000,0.725,0.937
