YEAR,TIME,REP,FORAGE,GRZTRT,ZONE,MEAS,DEPTH,SBD,EC,PH,NO3N,NH4N,P,PMN,SOC,TN
2005,SPRING,2,ANNUAL,CONTROL,NT,2,7.5,1.30,0.27,6.17,6.56,2.51,15.36,80.10,25.64,2.29
2005,SPRING,2,ANNUAL,CONTROL,NT,3,7.5,1.18,0.32,6.40,6.70,2.37,13.07,89.21,19.87,1.81
2005,SPRING,1,PERENN,GRAZE,LT,1,7.5,1.07,0.28,6.29,1.97,2.84,7.16,111.03,23.27,1.99
2005,SPRING,1,PERENN,GRAZE,LT,2,7.5,1.10,0.25,6.24,1.11,2.77,4.86,117.48,25.65,2.16
2005,SPRING,1,PERENN,GRAZE,LT,3,7.5,1.18,0.25,6.56,1.03,2.63,4.34,95.96,17.17,1.60
2005,SPRING,1,PERENN,GRAZE,HT,1,7.5,1.11,0.39,6.45,0.74,3.07,5.65,105.26,27.62,2.22
2005,SPRING,1,PERENN,GRAZE,HT,2,7.5,1.10,0.29,6.50,0.23,1.86,1.62,103.71,21.82,1.87
2005,SPRING,1,PERENN,GRAZE,HT,3,7.5,1.16,0.44,7.44,0.74,2.53,0.86,143.53,17.08,1.54
2005,SPRING,1,PERENN,CONTROL,NT,1,7.5,1.05,0.29,6.79,1.36,2.61,1.55,117.20,21.94,1.85
2005,SPRING,1,PERENN,HAYED,NT,1,7.5,1.06,0.27,6.62,1.06,2.31,0.78,106.35,19.83,1.72
2005,SPRING,2,PERENN,GRAZE,LT,1,7.5,1.07,0.27,6.51,1.26,2.30,1.58,110.86,23.78,1.93
2005,SPRING,2,PERENN,GRAZE,LT,2,7.5,1.09,0.29,6.52,1.12,2.93,1.60,101.96,20.33,1.70
2005,SPRING,2,PERENN,GRAZE,LT,3,7.5,1.19,0.25,6.44,1.39,2.16,1.75,104.76,24.00,2.01
2005,SPRING,2,PERENN,GRAZE,HT,1,7.5,1.08,0.29,6.46,1.04,2.60,0.80,108.49,22.29,1.92
2005,SPRING,2,PERENN,GRAZE,HT,2,7.5,1.14,0.27,6.50,0.81,2.73,0.84,102.41,19.73,1.75
2005,SPRING,2,PERENN,GRAZE,HT,3,7.5,1.15,0.26,6.61,1.67,2.15,0.85,95.20,21.02,1.82
2005,SPRING,2,PERENN,HAYED,NT,1,7.5,1.11,0.27,6.80,1.80,2.66,0.82,119.67,20.39,1.79
2005,SPRING,2,PERENN,CONTROL,NT,1,7.5,1.11,0.27,6.56,3.90,3.16,0.82,105.52,19.33,1.69
2008,SPRING,1,ANNUAL,GRAZE,HT,1,7.5,1.19,0.29,5.96,11.22,4.01,12.09,63.60,27.47,2.33
2008,SPRING,1,ANNUAL,GRAZE,HT,2,7.5,1.16,0.44,5.92,14.39,4.27,14.39,64.32,29.26,2.70
2008,SPRING,1,ANNUAL,GRAZE,HT,3,7.5,1.14,0.39,5.57,13.29,4.43,9.94,68.69,27.46,2.50
2008,SPRING,1,ANNUAL,GRAZE,LT,1,7.5,1.18,0.46,5.70,13.11,3.81,16.51,52.74,16.44,1.53
2008,SPRING,1,ANNUAL,GRAZE,LT,2,7.5,1.13,0.38,5.67,10.42,4.32,16.70,88.84,14.23,1.34
2008,SPRING,1,ANNUAL,GRAZE,LT,3,7.5,1.00,0.40,5.57,12.85,4.06,13.88,67.43,30.21,2.64
2008,SPRING,1,ANNUAL,CONTROL,NT,1,7.5,1.17,0.45,6.02,13.21,3.94,11.71,57.73,25.08,2.32
2008,SPRING,1,ANNUAL,CONTROL,NT,2,7.5,1.06,0.46,5.79,14.34,4.06,13.17,70.11,25.25,2.27
2008,SPRING,1,ANNUAL,CONTROL,NT,3,7.5,0.99,0.44,5.48,10.36,4.92,12.67,37.97,24.21,2.20
2008,SPRING,1,ANNUAL,HAY,NT,1,7.5,1.08,0.37,5.77,9.19,5.32,12.78,58.58,26.88,2.42
2008,SPRING,1,ANNUAL,HAY,NT,2,7.5,1.06,0.31,5.72,7.28,4.75,6.95,38.66,23.74,2.24
2008,SPRING,1,ANNUAL,HAY,NT,3,7.5,1.08,0.46,5.65,20.41,7.82,12.38,67.46,27.47,2.51
2008,SPRING,2,ANNUAL,GRAZE,HT,1,7.5,1.08,0.54,5.77,12.04,3.42,28.60,52.90,24.86,2.28
2008,SPRING,2,ANNUAL,GRAZE,HT,2,7.5,1.61,0.41,6.07,9.76,5.66,18.74,108.75,33.47,3.05
2008,SPRING,2,ANNUAL,GRAZE,HT,3,7.5,1.34,0.86,5.88,44.33,25.69,16.72,52.24,23.59,2.30
2008,SPRING,2,ANNUAL,GRAZE,LT,1,7.5,1.18,0.37,5.96,9.58,4.79,13.90,70.94,24.47,2.26
2008,SPRING,2,ANNUAL,GRAZE,LT,2,7.5,1.19,0.40,5.88,12.85,6.42,13.73,90.74,27.36,2.47
2008,SPRING,2,ANNUAL,GRAZE,LT,3,7.5,1.16,0.57,5.99,18.61,4.54,13.56,118.66,28.00,2.56
2008,SPRING,2,ANNUAL,CONTROL,NT,1,7.5,1.13,0.37,6.27,1.61,3.89,3.26,19.32,11.17,1.05
2008,SPRING,2,ANNUAL,CONTROL,NT,2,7.5,1.25,0.43,6.99,9.16,5.05,10.91,31.02,23.67,2.16
2008,SPRING,2,ANNUAL,CONTROL,NT,3,7.5,1.17,0.52,6.29,19.40,4.65,17.70,99.14,24.09,2.29
2008,SPRING,2,ANNUAL,HAY,NT,1,7.5,1.16,0.30,6.15,3.23,3.58,8.39,58.58,21.14,2.02
2008,SPRING,2,ANNUAL,HAY,NT,2,7.5,1.13,0.34,6.38,6.10,4.23,12.37,87.44,21.14,1.97
2008,SPRING,2,ANNUAL,HAY,NT,3,7.5,1.16,0.39,6.27,8.16,3.82,13.54,55.58,22.18,2.05
2008,SPRING,1,PERENN,GRAZE,LT,1,7.5,1.05,0.35,6.78,0.63,3.95,6.07,126.54,26.80,2.29
2008,SPRING,1,PERENN,GRAZE,LT,2,7.5,1.07,0.35,6.73,0.97,4.50,5.52,123.73,26.67,2.37
2008,SPRING,1,PERENN,GRAZE,LT,3,7.5,1.08,0.32,6.79,0.81,3.72,4.76,89.09,25.79,2.24
2008,SPRING,1,PERENN,GRAZE,HT,1,7.5,1.00,0.51,7.12,0.53,4.07,5.93,119.64,28.34,2.45
2008,SPRING,1,PERENN,GRAZE,HT,2,7.5,1.04,0.36,6.85,0.78,3.58,3.77,117.78,23.57,2.04
2008,SPRING,1,PERENN,GRAZE,HT,3,7.5,1.09,0.56,7.65,0.98,3.93,7.21,141.37,22.19,2.01
2008,SPRING,1,PERENN,CONTROL,NT,1,7.5,1.07,0.33,6.87,0.40,3.38,4.73,112.98,26.72,2.34
2008,SPRING,1,PERENN,HAYED,NT,1,7.5,1.10,0.37,6.90,0.91,3.81,5.69,126.42,24.46,2.19
2008,SPRING,2,PERENN,GRAZE,LT,1,7.5,1.04,0.35,6.70,0.78,3.50,5.34,104.42,24.72,2.23
2008,SPRING,2,PERENN,GRAZE,LT,2,7.5,0.91,0.34,6.62,0.88,4.01,4.67,118.51,28.57,2.40
2008,SPRING,2,PERENN,GRAZE,LT,3,7.5,1.11,0.33,6.82,0.67,3.43,3.28,81.97,20.09,1.84
2008,SPRING,2,PERENN,GRAZE,HT,1,7.5,1.12,0.37,6.94,0.59,4.38,4.96,98.38,23.24,2.06
2008,SPRING,2,PERENN,GRAZE,HT,2,7.5,1.15,0.36,6.71,0.69,4.04,4.21,93.14,25.22,2.25
2008,SPRING,2,PERENN,GRAZE,HT,3,7.5,1.09,0.34,6.67,1.55,3.91,3.99,165.50,30.17,2.66
2008,SPRING,2,PERENN,HAYED,NT,1,7.5,1.11,0.37,6.98,1.08,5.01,5.66,129.57,25.03,2.27
2008,SPRING,2,PERENN,CONTROL,NT,1,7.5,1.15,0.38,6.99,1.99,4.76,6.79,126.19,27.57,2.51
